name,date,price,change,%change,open,high,low,volume,value(m)
BJC,2025-03-21,21.6,0.3,1.408451,21.4,21.6,21.3,1939134,41756.878899999996
BLA,2025-03-21,19.4,-0.1,-0.512821,19.7,19.8,19.4,901765,17617.6466
BLAND,2025-03-21,0.46,0.01,2.222222,0.45,0.46,0.45,14580631,6589.32045
BPP,2025-03-21,7.35,0.05,0.684932,7.35,7.4,7.2,1297385,9500.275
BTS,2025-03-21,5.45,-0.2,-3.539823,5.65,5.7,5.45,60336798,332655.2881
BTSGIF,2025-03-21,2.84,0,0,2.84,2.86,2.84,1044900,2967.654
CBG,2025-03-21,62.25,0,0,62.25,63,61.5,2566641,159704.9755
CENTEL,2025-03-21,31.75,0.75,2.419355,30.75,32,30.75,3837485,121098.09075
CHG,2025-03-21,1.82,0.01,0.552486,1.83,1.84,1.8,17436088,31579.22535
CK,2025-03-21,14.5,0.4,2.836879,14.3,14.5,14.2,2226752,31911.1977
CKP,2025-03-21,2.66,0.04,1.526718,2.64,2.66,2.58,7312814,19248.394760000003
COM7,2025-03-21,19.6,0.2,1.030928,19.4,19.8,19.3,6474747,126357.3288
CPALL,2025-03-21,50.25,-0.5,-0.985222,50.75,51.5,50.25,29194462,1477444.05975
CPF,2025-03-21,24.1,0.5,2.118644,23.7,24.1,23.5,40961210,983191.4857999999
CPN,2025-03-21,50.25,0.5,1.005025,49.75,50.75,49.75,10118967,508720.87075
CPNCG,2025-03-21,6.05,-0.05,-0.819672,6.05,6.15,6.05,1266201,7717.991099999999
CPNREIT,2025-03-21,12.5,0.2,1.626016,12.3,12.5,12.2,4095726,50614.239799999996
CRC,2025-03-21,27,-0.25,-0.917431,27.25,27.5,26.5,20303340,545639.836
DELTA,2025-03-21,69,2.25,3.370787,67.75,69.25,66.75,23392928,1597332.51
DIF,2025-03-21,8.1,0.1,1.25,8,8.1,7.95,8549282,68747.7606
DOHOME,2025-03-21,6.3,-0.15,-2.325581,6.5,6.6,6.25,8085055,51553.9836
EA,2025-03-21,2.34,-0.08,-3.305785,2.44,2.46,2.34,128676077,304468.49727999995
EASTW,2025-03-21,2.02,0.02,1,2,2.06,2,271915,554.5330799999999
EGATIF,2025-03-21,5.9,0,0,5.9,5.95,5.9,82920,492.127
EGCO,2025-03-21,95.25,0,0,95.25,95.5,94.5,1678483,159632.7275
EPG,2025-03-21,3.14,-0.06,-1.875,3.18,3.2,3.1,1748786,5506.22318
FORTH,2025-03-21,7.0,0.0,0.0,7.1,7.1,7.0,165213,1163.60175
FPT,2025-03-21,7,0.05,0.719424,7.9,7.9,6.9,44301,320.1625
FTREIT,2025-03-21,10.1,-0.2,-1.941748,10.3,10.3,10.1,1110507,11337.2423
GFPT,2025-03-21,8.25,-0.1,-1.197605,8.4,8.4,8.25,1321880,10986.58945
GLOBAL,2025-03-21,7.25,0.05,0.694444,7.25,7.3,7.1,14955965,107410.08715
GPSC,2025-03-21,28.5,-0.25,-0.869565,28.75,29,28.25,4817377,137613.7645
GUNKUL,2025-03-21,1.69,0.01,0.595238,1.68,1.7,1.66,8685277,14590.04742
GVREIT,2025-03-21,6.7,-0.05,-0.740741,6.65,6.75,6.5,489231,3215.32425
HANA,2025-03-21,16.8,0,0,17,17.1,16.7,5437104,91461.1989
HFT,2025-03-21,3.92,-0.06,-1.507538,3.96,4.0,3.88,1239661,4869.96712
HMPRO,2025-03-21,8.2,0.3,3.797468,7.95,8.2,7.85,42838502,345525.63925
